Наименование НКО,Учетный номер,ОРГН,Форма,Вид отчета,Период,URL
"Филиал Ассоциации ""Врачи Без Границ"" (Франция) в Российской Федерации",0016100043,,Ассоциация,СП0003,11.11.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17584501
"Филиал Ассоциации ""Врачи Без Границ"" (Франция) в Российской Федерации",0016100043,,Ассоциация,СП0003,11.11.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17584301
"Филиал Ассоциации ""Врачи Без Границ"" (Франция) в Российской Федерации",0016100043,,Ассоциация,СП0001,11.11.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17584201
"Филиал объединения ""Конрад-Аденауэр-Штифтунг е.Ф."" (Германия) в Российской Федерации, Москва",0016020127,,Организация,СП0003,30.10.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17558801
"Филиал объединения ""Конрад-Аденауэр-Штифтунг е.Ф."" (Германия) в Российской Федерации, Москва",0016020127,,Организация,СП0003,30.10.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17558701
"Филиал объединения ""Конрад-Аденауэр-Штифтунг е.Ф."" (Германия) в Российской Федерации, Москва",0016020127,,Организация,СП0003,30.10.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17558601
"Филиал объединения ""Конрад-Аденауэр-Штифтунг е.Ф."" (Германия) в Российской Федерации, Москва",0016020127,,Организация,СП0003,30.10.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17558401
"Филиал объединения ""Конрад-Аденауэр-Штифтунг е.Ф."" (Германия) в Российской Федерации, Москва",0016020127,,Организация,СП0003,30.10.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17558301
"Филиал объединения ""Конрад-Аденауэр-Штифтунг е.Ф."" (Германия) в Российской Федерации, Москва",0016020127,,Организация,СП0003,30.10.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17558201
"Филиал объединения ""Конрад-Аденауэр-Штифтунг е.Ф."" (Германия) в Российской Федерации, Москва",0016020127,,Организация,СП0003,30.10.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17558001
"Филиал объединения ""Конрад-Аденауэр-Штифтунг е.Ф."" (Германия) в Российской Федерации, Москва",0016020127,,Организация,СП0003,30.10.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17557801
"Филиал объединения ""Конрад-Аденауэр-Штифтунг е.Ф."" (Германия) в Российской Федерации, Москва",0016020127,,Организация,СП0003,30.10.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17557701
"Филиал объединения ""Конрад-Аденауэр-Штифтунг е.Ф."" (Германия) в Российской Федерации, Москва",0016020127,,Организация,СП0003,30.10.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17557601
"Представительство Корпорации ""Кидсейв Интернейшнл"" (США) в Российской Федерации",0016050054,,Корпорация,СП0001,29.10.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17555401
"Представительство Корпорации ""Кидсейв Интернейшнл"" (США) в Российской Федерации",0016050054,,Корпорация,СП0003,29.10.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17555301
"Представительство Корпорации ""Кидсейв Интернейшнл"" (США) в Российской Федерации",0016050054,,Корпорация,СП0003,29.10.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17555201
"Представительство Корпорации ""Кидсейв Интернейшнл"" (США) в Российской Федерации",0016050054,,Корпорация,СП0003,29.10.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17555101
"Представительство Корпорации ""Кидсейв Интернейшнл"" (США) в Российской Федерации",0016050054,,Корпорация,СП0003,29.10.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17555001
"Представительство корпорации ""Американские Советы по Международному Образованию: АСПРЯЛ/АКСЕЛС, Инк."" в Российской Федерации",0016050091,,Корпорация,СП0003,29.10.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17554601
"Представительство Корпорации ""Американский Центр по Образованию и Тестированию, Инк."" в Россиской Федерации",0016050092,,Корпорация,СП0003,28.10.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17550901
"Представительство Корпорации ""Американский Центр по Образованию и Тестированию, Инк."" в Россиской Федерации",0016050092,,Корпорация,СП0003,28.10.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17550801
"Представительство Корпорации ""Американский Центр по Образованию и Тестированию, Инк."" в Россиской Федерации",0016050092,,Корпорация,СП0001,28.10.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17550701
